Learning order,Order metric
[4; 13; 12; 6; 2; 9; 14; 7; 5; 15; 3; 11; 1; 8; 10],  -72.0
[5; 7; 2; 1; 11; 9; 6; 15; 8; 10; 4; 12; 14; 13; 3],  -62.0
[4; 12; 7; 1; 9; 14; 5; 13; 15; 11; 6; 2; 10; 3; 8],  -72.0
[12; 14; 5; 11; 15; 13; 9; 2; 10; 4; 1; 8; 3; 7; 6],  -38.0
[5; 2; 7; 9; 1; 13; 12; 11; 6; 4; 8; 10; 14; 15; 3],  -62.0
[5; 8; 1; 13; 12; 14; 7; 11; 15; 9; 6; 2; 10; 3; 4],  -62.0
[3; 5; 8; 1; 11; 12; 7; 10; 6; 4; 13; 9; 14; 2; 15],  -144.0
[12; 14; 1; 7; 6; 11; 2; 10; 13; 9; 4; 3; 15; 5; 8],  -38.0
[8; 12; 2; 5; 9; 15; 1; 11; 13; 14; 3; 4; 10; 7; 6],  -74.0
[9; 8; 14; 4; 13; 6; 1; 5; 10; 11; 3; 15; 12; 7; 2],  -62.0
[2; 1; 11; 10; 9; 8; 4; 7; 3; 12; 14; 5; 13; 15; 6],  -54.0
[15; 14; 10; 9; 3; 1; 5; 11; 2; 12; 8; 6; 7; 13; 4],  -44.0
[8; 15; 10; 7; 2; 13; 11; 5; 14; 3; 1; 6; 4; 12; 9],  -80.0
[6; 14; 15; 8; 5; 2; 7; 1; 10; 11; 3; 4; 12; 13; 9],  -74.0
[4; 5; 12; 6; 10; 8; 15; 9; 1; 2; 14; 11; 13; 7; 3],  -72.0
[11; 12; 13; 6; 5; 4; 7; 9; 10; 2; 3; 15; 8; 14; 1],  -74.0
[14; 9; 3; 10; 11; 2; 13; 1; 7; 8; 6; 5; 12; 15; 4],  -74.0
[14; 7; 3; 11; 9; 2; 8; 13; 15; 12; 5; 4; 10; 1; 6],  -74.0
[10; 13; 9; 11; 14; 3; 12; 1; 5; 4; 6; 7; 8; 15; 2],  -44.0
[13; 7; 11; 9; 2; 8; 3; 5; 10; 12; 1; 15; 4; 6; 14],  -54.0
[13; 9; 4; 3; 10; 7; 6; 15; 14; 11; 8; 5; 2; 12; 1],  -50.0
[8; 6; 14; 15; 1; 4; 3; 2; 7; 9; 5; 10; 13; 12; 11],  -74.0
[3; 14; 8; 9; 6; 15; 1; 7; 4; 5; 10; 13; 2; 12; 11],  -144.0
[1; 5; 15; 9; 14; 11; 7; 2; 3; 10; 4; 12; 8; 13; 6],  -62.0
[4; 6; 13; 5; 8; 10; 11; 7; 15; 12; 14; 3; 1; 2; 9],  -74.0
[14; 9; 11; 1; 13; 6; 4; 3; 7; 5; 15; 10; 12; 8; 2],  -62.0
[4; 5; 9; 15; 2; 13; 7; 12; 14; 11; 10; 3; 6; 8; 1],  -72.0
[12; 2; 9; 11; 10; 4; 14; 3; 5; 15; 1; 13; 6; 8; 7],  -36.0
[1; 14; 7; 6; 11; 4; 12; 3; 10; 15; 13; 5; 9; 2; 8],  -62.0
[14; 10; 6; 4; 15; 12; 3; 1; 5; 2; 11; 8; 9; 7; 13],  -62.0
[6; 2; 1; 14; 8; 10; 15; 13; 7; 9; 3; 4; 11; 12; 5],  -74.0
[10; 2; 6; 11; 9; 8; 15; 5; 14; 12; 1; 3; 7; 13; 4],  -50.0
[3; 12; 13; 14; 2; 8; 4; 15; 9; 6; 1; 11; 7; 10; 5],  -144.0
[2; 3; 14; 8; 10; 5; 15; 11; 4; 6; 13; 12; 9; 1; 7],  -72.0
[4; 5; 7; 13; 2; 12; 11; 10; 15; 6; 14; 8; 3; 1; 9],  -72.0
[4; 2; 9; 7; 6; 1; 5; 12; 15; 14; 8; 10; 13; 3; 11],  -80.0
[10; 1; 2; 4; 14; 15; 5; 3; 13; 9; 8; 12; 7; 11; 6],  -50.0
[9; 14; 7; 3; 8; 4; 13; 12; 1; 2; 6; 5; 10; 11; 15],  -54.0
[8; 9; 3; 14; 4; 11; 13; 6; 2; 10; 12; 5; 1; 15; 7],  -74.0
[8; 5; 2; 15; 1; 4; 3; 13; 10; 12; 9; 7; 14; 11; 6],  -74.0
[10; 8; 14; 1; 13; 6; 7; 5; 15; 2; 12; 11; 3; 9; 4],  -44.0
[1; 14; 7; 2; 10; 5; 12; 11; 9; 3; 6; 8; 15; 13; 4],  -62.0
[11; 3; 7; 10; 1; 5; 15; 12; 6; 8; 9; 13; 2; 14; 4],  -80.0
[4; 5; 9; 11; 7; 12; 6; 13; 15; 2; 14; 10; 1; 8; 3],  -72.0
[15; 14; 6; 12; 8; 1; 9; 13; 5; 3; 4; 2; 10; 7; 11],  -44.0
[2; 3; 1; 11; 9; 12; 15; 8; 14; 10; 6; 13; 4; 5; 7],  -72.0
[13; 2; 1; 11; 12; 6; 3; 8; 4; 5; 7; 15; 14; 10; 9],  -50.0
[1; 13; 15; 14; 8; 10; 4; 3; 6; 2; 11; 5; 9; 12; 7],  -44.0
[5; 2; 7; 11; 4; 14; 13; 6; 10; 15; 12; 1; 3; 8; 9],  -62.0
[15; 4; 12; 1; 9; 13; 7; 11; 5; 3; 14; 10; 2; 6; 8],  -62.0
[6; 14; 4; 12; 5; 7; 3; 2; 15; 10; 1; 9; 13; 11; 8],  -74.0
[4; 3; 6; 12; 13; 14; 11; 10; 8; 2; 9; 1; 15; 5; 7],  -80.0
[10; 7; 3; 1; 12; 5; 9; 8; 4; 6; 11; 2; 14; 15; 13],  -54.0
[6; 4; 14; 1; 2; 7; 9; 8; 10; 12; 3; 5; 15; 11; 13],  -74.0
[4; 9; 5; 6; 14; 8; 3; 1; 10; 12; 7; 11; 2; 13; 15],  -72.0
[9; 8; 11; 2; 7; 12; 13; 5; 1; 6; 4; 3; 15; 14; 10],  -62.0
[1; 11; 3; 9; 6; 15; 7; 4; 5; 2; 12; 10; 13; 8; 14],  -80.0
[7; 15; 3; 11; 6; 8; 1; 13; 9; 5; 4; 10; 2; 14; 12],  -62.0
[5; 15; 3; 9; 12; 11; 14; 6; 10; 2; 7; 4; 8; 13; 1],  -62.0
[7; 6; 12; 9; 5; 8; 2; 1; 4; 15; 10; 14; 13; 11; 3],  -62.0
[5; 14; 2; 4; 10; 11; 13; 12; 3; 7; 1; 8; 6; 15; 9],  -62.0
[5; 14; 4; 9; 13; 10; 15; 3; 11; 2; 7; 12; 6; 8; 1],  -62.0
[3; 10; 11; 8; 9; 5; 1; 12; 14; 6; 13; 7; 2; 4; 15],  -144.0
[4; 5; 8; 1; 14; 15; 6; 12; 9; 2; 10; 13; 3; 7; 11],  -72.0
[13; 9; 10; 1; 8; 5; 2; 14; 7; 6; 12; 4; 11; 3; 15],  -44.0
[7; 2; 1; 6; 4; 14; 15; 9; 3; 11; 10; 12; 8; 13; 5],  -62.0
[9; 14; 4; 5; 12; 2; 3; 13; 15; 7; 1; 10; 6; 8; 11],  -42.0
[5; 8; 6; 10; 11; 9; 13; 3; 12; 2; 14; 7; 15; 4; 1],  -62.0
[14; 4; 3; 8; 5; 1; 9; 11; 2; 15; 12; 7; 6; 10; 13],  -80.0
[15; 7; 12; 10; 5; 11; 1; 2; 13; 9; 14; 8; 4; 6; 3],  -50.0
[13; 3; 11; 6; 5; 12; 1; 2; 14; 4; 10; 8; 9; 15; 7],  -74.0
[15; 5; 2; 12; 14; 9; 3; 6; 11; 4; 1; 8; 10; 13; 7],  -50.0
[11; 10; 6; 4; 15; 13; 8; 2; 3; 7; 9; 12; 1; 14; 5],  -74.0
[10; 5; 8; 3; 4; 2; 13; 1; 14; 12; 7; 6; 11; 15; 9],  -42.0
[3; 4; 12; 2; 9; 14; 1; 5; 11; 13; 10; 7; 8; 6; 15],  -144.0
[13; 14; 12; 2; 3; 11; 7; 15; 1; 6; 9; 5; 10; 8; 4],  -42.0
[12; 9; 7; 15; 14; 13; 3; 8; 4; 10; 5; 11; 6; 1; 2],  -38.0
[6; 10; 15; 1; 4; 5; 2; 7; 11; 13; 9; 12; 3; 14; 8],  -74.0
[4; 13; 12; 6; 15; 3; 11; 14; 10; 8; 7; 2; 9; 1; 5],  -72.0
[13; 15; 14; 7; 5; 11; 10; 6; 4; 1; 9; 8; 2; 3; 12],  -50.0
[8; 6; 1; 2; 9; 3; 12; 15; 11; 5; 4; 14; 13; 10; 7],  -74.0
[15; 10; 11; 9; 7; 13; 5; 2; 14; 1; 3; 12; 6; 8; 4],  -44.0
[6; 3; 4; 14; 7; 11; 9; 8; 1; 2; 5; 10; 12; 13; 15],  -80.0
[10; 9; 4; 12; 6; 8; 15; 3; 13; 2; 5; 7; 14; 1; 11],  -42.0
[4; 15; 12; 14; 8; 10; 3; 2; 9; 6; 1; 11; 13; 5; 7],  -74.0
[12; 1; 13; 14; 4; 7; 3; 11; 5; 15; 6; 9; 2; 8; 10],  -38.0
[6; 10; 1; 3; 14; 15; 5; 4; 2; 7; 12; 8; 9; 13; 11],  -74.0
[11; 4; 15; 7; 1; 10; 6; 5; 2; 12; 3; 13; 8; 14; 9],  -74.0
[6; 9; 15; 7; 5; 2; 12; 10; 13; 8; 3; 11; 1; 14; 4],  -74.0
[11; 15; 7; 14; 5; 4; 2; 9; 8; 12; 1; 6; 10; 13; 3],  -80.0
[3; 10; 14; 15; 13; 8; 6; 2; 5; 9; 7; 11; 12; 4; 1],  -144.0
[3; 14; 12; 11; 6; 9; 4; 2; 1; 8; 13; 15; 7; 5; 10],  -144.0
[15; 10; 5; 13; 12; 4; 7; 6; 8; 1; 2; 3; 9; 11; 14],  -44.0
[5; 15; 8; 3; 4; 13; 2; 10; 12; 11; 7; 14; 9; 1; 6],  -62.0
[5; 2; 7; 10; 8; 3; 9; 4; 11; 1; 15; 6; 14; 12; 13],  -62.0
[10; 2; 6; 5; 7; 8; 9; 15; 1; 4; 13; 12; 3; 11; 14],  -50.0
[9; 11; 8; 12; 4; 6; 13; 1; 14; 5; 10; 15; 7; 3; 2],  -62.0
[13; 8; 15; 7; 5; 9; 12; 6; 3; 10; 2; 4; 11; 1; 14],  -50.0
[9; 10; 11; 4; 15; 8; 13; 5; 7; 3; 1; 2; 6; 14; 12],  -44.0
[9; 8; 4; 6; 11; 12; 1; 15; 10; 14; 5; 13; 2; 7; 3],  -62.0
[2; 4; 15; 1; 6; 3; 9; 7; 10; 12; 14; 11; 8; 5; 13],  -72.0
[1; 10; 9; 12; 5; 7; 15; 3; 2; 13; 4; 11; 14; 8; 6],  -42.0
[6; 1; 14; 3; 5; 13; 12; 11; 2; 4; 9; 10; 7; 15; 8],  -80.0
[14; 10; 7; 15; 9; 13; 6; 3; 12; 8; 5; 4; 1; 2; 11],  -54.0
[9; 11; 14; 8; 13; 3; 12; 10; 5; 6; 7; 1; 15; 4; 2],  -62.0
[4; 15; 3; 9; 8; 10; 14; 11; 6; 1; 2; 12; 5; 13; 7],  -74.0
[7; 13; 11; 15; 4; 8; 9; 6; 3; 10; 5; 14; 12; 2; 1],  -62.0
[3; 11; 8; 2; 5; 14; 15; 12; 7; 13; 10; 9; 4; 6; 1],  -144.0
