Learning order,Order metric
[7; 8; 16; 10; 6; 9; 1; 13; 2; 11; 14; 12; 3; 5; 15; 4],  -54.0
[16; 7; 3; 6; 2; 13; 12; 9; 11; 1; 4; 15; 5; 8; 14; 10],  -50.0
[11; 5; 13; 1; 12; 6; 8; 10; 14; 9; 3; 16; 4; 7; 2; 15],  -62.0
[13; 10; 12; 8; 16; 1; 15; 4; 3; 2; 6; 14; 5; 9; 7; 11],  -80.0
[8; 5; 3; 2; 6; 1; 16; 12; 4; 10; 15; 11; 9; 13; 14; 7],  -54.0
[4; 13; 8; 16; 14; 7; 10; 5; 6; 2; 12; 11; 3; 9; 1; 15],  -62.0
[11; 10; 8; 5; 6; 3; 12; 2; 1; 13; 7; 9; 4; 14; 15; 16],  -74.0
[1; 3; 8; 4; 13; 10; 2; 14; 16; 7; 11; 12; 6; 9; 15; 5],  -42.0
[9; 13; 3; 8; 7; 4; 15; 10; 2; 11; 16; 12; 6; 1; 14; 5],  -30.0
[2; 1; 12; 3; 11; 8; 7; 14; 15; 10; 4; 6; 13; 9; 16; 5],  -62.0
[9; 16; 12; 7; 1; 15; 6; 14; 4; 13; 2; 3; 8; 11; 10; 5],  -42.0
[6; 2; 4; 15; 10; 5; 1; 9; 14; 7; 3; 11; 12; 13; 8; 16],  -104.0
[8; 11; 15; 7; 6; 12; 4; 13; 10; 5; 16; 1; 2; 3; 9; 14],  -74.0
[14; 2; 13; 12; 9; 3; 5; 8; 7; 16; 15; 6; 1; 11; 10; 4],  -42.0
[7; 9; 3; 4; 14; 6; 15; 1; 2; 8; 5; 10; 12; 13; 16; 11],  -54.0
[9; 7; 16; 11; 8; 10; 1; 5; 6; 12; 2; 14; 15; 4; 3; 13],  -38.0
[11; 14; 6; 3; 8; 5; 1; 13; 4; 9; 2; 15; 10; 7; 16; 12],  -74.0
[6; 4; 3; 1; 9; 15; 13; 10; 16; 11; 7; 5; 14; 2; 12; 8],  -104.0
[16; 15; 14; 11; 6; 2; 10; 9; 3; 4; 13; 1; 8; 5; 12; 7],  -54.0
[15; 16; 8; 14; 4; 3; 2; 12; 13; 6; 9; 11; 7; 10; 1; 5],  -50.0
[3; 11; 8; 1; 2; 9; 13; 16; 4; 12; 10; 7; 6; 5; 15; 14],  -62.0
[11; 9; 14; 6; 10; 3; 15; 13; 8; 16; 1; 12; 2; 5; 4; 7],  -62.0
[2; 14; 7; 8; 1; 3; 16; 4; 5; 13; 9; 6; 10; 15; 11; 12],  -62.0
[3; 4; 11; 7; 14; 12; 15; 6; 13; 5; 8; 9; 10; 2; 16; 1],  -62.0
[4; 16; 15; 6; 12; 11; 2; 8; 9; 13; 14; 10; 5; 7; 3; 1],  -74.0
[2; 10; 15; 11; 4; 6; 5; 9; 3; 12; 1; 13; 16; 7; 8; 14],  -74.0
[14; 2; 7; 11; 13; 8; 9; 15; 4; 10; 1; 12; 16; 3; 5; 6],  -42.0
[16; 3; 14; 6; 12; 15; 5; 11; 9; 8; 10; 2; 7; 1; 13; 4],  -42.0
[16; 4; 7; 3; 10; 14; 12; 9; 6; 8; 5; 11; 13; 15; 2; 1],  -42.0
[11; 7; 10; 6; 15; 13; 16; 3; 12; 8; 14; 2; 5; 9; 4; 1],  -62.0
[3; 1; 16; 14; 12; 6; 5; 10; 2; 11; 7; 9; 8; 15; 13; 4],  -30.0
[7; 15; 5; 8; 1; 16; 6; 13; 10; 9; 14; 3; 4; 11; 2; 12],  -54.0
[16; 9; 4; 10; 12; 11; 1; 14; 15; 3; 5; 6; 8; 7; 13; 2],  -42.0
[13; 12; 4; 11; 9; 16; 14; 3; 7; 10; 15; 8; 1; 5; 2; 6],  -38.0
[1; 13; 8; 11; 6; 2; 12; 4; 15; 16; 10; 5; 7; 9; 14; 3],  -38.0
[5; 4; 1; 7; 16; 13; 8; 15; 12; 10; 14; 11; 3; 6; 2; 9],  -50.0
[8; 2; 7; 1; 9; 15; 10; 6; 13; 16; 11; 14; 5; 4; 3; 12],  -42.0
[8; 1; 14; 11; 2; 7; 12; 9; 16; 5; 10; 13; 15; 6; 4; 3],  -54.0
[3; 16; 2; 11; 1; 7; 9; 8; 6; 4; 12; 13; 15; 5; 14; 10],  -54.0
[1; 4; 2; 12; 7; 8; 13; 15; 9; 6; 16; 10; 3; 5; 14; 11],  -54.0
[9; 14; 8; 13; 16; 5; 11; 12; 10; 6; 7; 2; 4; 1; 3; 15],  -42.0
[10; 12; 1; 16; 4; 15; 9; 13; 8; 11; 6; 14; 5; 3; 7; 2],  -144.0
[12; 1; 13; 4; 2; 5; 9; 11; 10; 3; 15; 14; 8; 6; 16; 7],  -38.0
[1; 5; 13; 3; 4; 2; 16; 8; 9; 7; 15; 11; 14; 12; 10; 6],  -38.0
[11; 6; 3; 5; 15; 8; 1; 7; 16; 2; 9; 4; 10; 14; 12; 13],  -74.0
[8; 3; 16; 11; 5; 13; 15; 1; 14; 7; 12; 10; 9; 4; 2; 6],  -54.0
[5; 15; 8; 9; 1; 3; 16; 4; 11; 14; 12; 6; 7; 10; 2; 13],  -38.0
[5; 2; 13; 3; 1; 8; 6; 10; 14; 11; 15; 7; 4; 9; 16; 12],  -38.0
[14; 4; 3; 1; 15; 5; 11; 13; 7; 2; 16; 9; 10; 8; 12; 6],  -74.0
[9; 14; 8; 6; 13; 16; 4; 3; 2; 7; 11; 12; 1; 10; 15; 5],  -42.0
[16; 7; 12; 13; 6; 2; 11; 10; 15; 5; 3; 4; 14; 9; 8; 1],  -50.0
[8; 12; 10; 1; 2; 5; 6; 7; 4; 15; 3; 9; 16; 13; 14; 11],  -54.0
[5; 12; 10; 14; 15; 9; 2; 7; 4; 16; 1; 6; 11; 3; 8; 13],  -56.0
[5; 2; 13; 14; 8; 9; 10; 11; 3; 7; 6; 12; 4; 16; 15; 1],  -50.0
[5; 8; 4; 11; 12; 2; 16; 15; 3; 6; 14; 1; 10; 13; 9; 7],  -50.0
[10; 9; 8; 3; 11; 5; 14; 4; 16; 12; 15; 7; 1; 13; 2; 6],  -144.0
[11; 13; 3; 9; 12; 2; 7; 6; 16; 1; 10; 5; 14; 8; 4; 15],  -62.0
[2; 6; 3; 16; 1; 7; 8; 4; 14; 10; 11; 9; 15; 12; 13; 5],  -74.0
[9; 16; 3; 6; 12; 4; 13; 7; 14; 10; 1; 11; 5; 8; 15; 2],  -42.0
[15; 6; 14; 7; 12; 1; 4; 2; 13; 5; 9; 8; 10; 3; 11; 16],  -80.0
[14; 9; 6; 10; 15; 11; 8; 12; 2; 4; 5; 13; 3; 1; 16; 7],  -54.0
[9; 4; 7; 10; 12; 3; 2; 8; 1; 11; 16; 6; 15; 14; 5; 13],  -62.0
[12; 13; 3; 6; 4; 14; 9; 11; 10; 2; 1; 7; 8; 15; 16; 5],  -56.0
[16; 2; 9; 1; 13; 15; 4; 10; 11; 6; 7; 8; 3; 12; 5; 14],  -74.0
[14; 15; 9; 16; 6; 13; 10; 3; 4; 1; 12; 7; 2; 8; 5; 11],  -50.0
[14; 8; 10; 3; 4; 15; 7; 9; 11; 6; 12; 1; 5; 2; 16; 13],  -74.0
[3; 14; 11; 8; 5; 4; 16; 10; 6; 2; 7; 15; 1; 9; 12; 13],  -62.0
[10; 3; 14; 4; 15; 7; 9; 16; 11; 5; 6; 8; 12; 2; 1; 13],  -144.0
[9; 12; 15; 10; 5; 4; 1; 2; 7; 11; 14; 16; 3; 6; 8; 13],  -48.0
[14; 6; 13; 15; 16; 4; 3; 9; 2; 7; 12; 5; 11; 1; 10; 8],  -54.0
[11; 10; 14; 15; 6; 4; 16; 12; 7; 3; 13; 2; 8; 9; 1; 5],  -74.0
[3; 6; 5; 10; 7; 9; 12; 16; 15; 1; 14; 8; 13; 2; 4; 11],  -72.0
[8; 4; 13; 6; 11; 16; 7; 14; 15; 3; 5; 10; 2; 9; 1; 12],  -74.0
[4; 11; 16; 15; 10; 5; 8; 13; 14; 6; 2; 9; 1; 12; 3; 7],  -74.0
[2; 16; 7; 8; 14; 3; 10; 6; 5; 4; 9; 13; 1; 12; 11; 15],  -74.0
[1; 15; 10; 12; 4; 11; 13; 5; 3; 2; 14; 6; 8; 9; 7; 16],  -72.0
[5; 1; 15; 6; 11; 16; 14; 9; 2; 10; 7; 8; 13; 12; 3; 4],  -56.0
[9; 15; 1; 11; 5; 14; 12; 16; 6; 13; 4; 8; 7; 3; 10; 2],  -38.0
[9; 7; 10; 3; 2; 5; 15; 13; 6; 12; 14; 1; 8; 11; 4; 16],  -56.0
[11; 14; 6; 1; 12; 9; 4; 3; 7; 16; 13; 15; 10; 8; 2; 5],  -74.0
[2; 12; 14; 11; 10; 6; 1; 8; 4; 16; 15; 9; 3; 7; 5; 13],  -62.0
[10; 2; 11; 1; 13; 12; 4; 6; 7; 16; 5; 14; 9; 15; 3; 8],  -144.0
[9; 12; 15; 10; 16; 4; 3; 13; 6; 5; 2; 11; 1; 8; 7; 14],  -48.0
[14; 2; 15; 13; 7; 16; 9; 4; 8; 6; 1; 12; 10; 11; 5; 3],  -42.0
[14; 13; 8; 4; 1; 3; 7; 5; 6; 9; 11; 12; 10; 16; 15; 2],  -54.0
[15; 2; 4; 3; 11; 6; 10; 5; 1; 13; 9; 8; 7; 12; 16; 14],  -50.0
[14; 7; 3; 12; 5; 13; 16; 1; 15; 8; 6; 11; 2; 10; 4; 9],  -50.0
[2; 14; 16; 12; 7; 4; 3; 5; 8; 10; 6; 9; 11; 15; 1; 13],  -74.0
[5; 11; 3; 2; 12; 14; 7; 10; 6; 16; 4; 9; 15; 8; 1; 13],  -50.0
[1; 11; 3; 15; 5; 2; 7; 9; 13; 12; 8; 14; 6; 10; 16; 4],  -42.0
[4; 11; 13; 2; 16; 15; 12; 14; 7; 1; 5; 9; 6; 3; 8; 10],  -62.0
[8; 14; 11; 4; 5; 1; 12; 7; 2; 13; 6; 16; 10; 9; 3; 15],  -74.0
[5; 2; 15; 4; 12; 14; 3; 10; 9; 11; 1; 6; 8; 7; 13; 16],  -38.0
[16; 1; 6; 5; 12; 10; 15; 4; 11; 7; 13; 14; 8; 2; 3; 9],  -54.0
[5; 14; 1; 10; 9; 15; 16; 2; 7; 3; 6; 11; 4; 8; 12; 13],  -38.0
[8; 12; 1; 4; 13; 7; 6; 16; 3; 5; 10; 11; 9; 15; 14; 2],  -54.0
[11; 12; 15; 4; 16; 9; 14; 8; 2; 6; 1; 7; 5; 3; 13; 10],  -62.0
[4; 14; 15; 7; 3; 8; 10; 9; 5; 12; 16; 1; 11; 13; 2; 6],  -74.0
[5; 4; 9; 16; 12; 11; 7; 10; 6; 14; 13; 1; 2; 3; 15; 8],  -50.0
[16; 7; 1; 11; 15; 8; 14; 12; 10; 6; 2; 9; 3; 13; 5; 4],  -50.0
[16; 6; 13; 14; 7; 11; 8; 15; 3; 12; 9; 1; 10; 5; 2; 4],  -54.0
[15; 2; 4; 9; 7; 6; 8; 16; 3; 5; 1; 12; 14; 11; 10; 13],  -50.0
[11; 6; 9; 12; 3; 4; 2; 15; 13; 10; 5; 14; 7; 8; 1; 16],  -74.0
[10; 4; 9; 6; 2; 5; 16; 13; 3; 7; 15; 14; 1; 8; 12; 11],  -144.0
[11; 6; 3; 5; 8; 4; 14; 1; 7; 10; 15; 12; 16; 9; 2; 13],  -74.0
[14; 16; 10; 1; 9; 2; 15; 4; 6; 8; 5; 12; 7; 11; 3; 13],  -54.0
[11; 6; 7; 2; 15; 9; 8; 16; 1; 12; 3; 14; 5; 4; 10; 13],  -74.0
[13; 1; 9; 2; 3; 6; 5; 10; 16; 7; 8; 11; 15; 4; 14; 12],  -38.0
[10; 2; 7; 8; 15; 14; 3; 12; 9; 1; 4; 16; 5; 6; 11; 13],  -144.0
[1; 11; 5; 12; 4; 14; 10; 6; 7; 9; 3; 13; 8; 15; 2; 16],  -42.0
[11; 10; 9; 4; 7; 13; 3; 14; 5; 15; 1; 12; 6; 2; 8; 16],  -74.0
[3; 10; 15; 7; 9; 16; 2; 5; 8; 11; 14; 1; 4; 13; 6; 12],  -104.0
[16; 12; 11; 8; 9; 15; 7; 4; 3; 2; 14; 13; 10; 6; 5; 1],  -54.0
[3; 16; 12; 2; 4; 15; 10; 8; 11; 6; 13; 5; 9; 14; 7; 1],  -54.0
[8; 11; 3; 15; 9; 14; 6; 2; 10; 12; 7; 16; 4; 13; 1; 5],  -74.0
[2; 9; 8; 3; 6; 13; 7; 11; 15; 4; 1; 5; 12; 14; 16; 10],  -74.0
[14; 4; 1; 11; 9; 15; 10; 5; 8; 2; 12; 7; 3; 16; 13; 6],  -74.0
[4; 16; 7; 13; 3; 14; 2; 12; 5; 15; 8; 6; 1; 10; 11; 9],  -62.0
[5; 9; 2; 11; 13; 10; 8; 16; 7; 6; 12; 14; 15; 3; 1; 4],  -50.0
[14; 11; 4; 2; 3; 10; 1; 7; 5; 12; 9; 6; 8; 16; 13; 15],  -74.0
[4; 16; 3; 1; 2; 12; 11; 13; 5; 6; 8; 7; 10; 15; 9; 14],  -62.0
[12; 2; 14; 15; 16; 9; 3; 1; 11; 4; 13; 5; 8; 6; 10; 7],  -62.0
[13; 6; 15; 14; 9; 2; 16; 1; 7; 4; 8; 5; 10; 3; 11; 12],  -80.0
[7; 13; 1; 16; 5; 15; 2; 12; 8; 14; 10; 6; 9; 4; 11; 3],  -54.0
[8; 11; 2; 14; 1; 7; 6; 16; 3; 9; 15; 4; 5; 12; 10; 13],  -74.0
[1; 11; 15; 7; 8; 3; 6; 2; 12; 14; 9; 13; 10; 5; 4; 16],  -42.0
[2; 16; 7; 13; 6; 8; 14; 12; 1; 4; 10; 9; 15; 5; 11; 3],  -74.0
[13; 4; 11; 16; 8; 6; 1; 2; 3; 14; 7; 12; 10; 9; 15; 5],  -50.0
[15; 13; 12; 7; 6; 10; 9; 14; 3; 1; 2; 16; 5; 11; 4; 8],  -56.0
[15; 6; 2; 14; 7; 1; 16; 9; 3; 10; 4; 5; 12; 13; 8; 11],  -80.0
[7; 1; 16; 11; 8; 4; 14; 5; 6; 2; 13; 3; 9; 15; 12; 10],  -54.0
[11; 10; 7; 12; 4; 16; 6; 2; 13; 5; 15; 9; 3; 14; 1; 8],  -74.0
[15; 6; 9; 11; 10; 2; 13; 3; 1; 14; 5; 4; 8; 16; 12; 7],  -80.0
[10; 16; 6; 4; 14; 7; 12; 2; 8; 3; 13; 11; 15; 1; 9; 5],  -144.0
[5; 15; 16; 8; 13; 14; 7; 4; 2; 10; 11; 6; 3; 1; 9; 12],  -38.0
[13; 5; 8; 6; 9; 7; 1; 12; 3; 2; 16; 4; 10; 14; 11; 15],  -50.0
[8; 6; 16; 1; 4; 5; 15; 3; 14; 9; 12; 11; 2; 10; 13; 7],  -54.0
[15; 1; 8; 10; 2; 4; 5; 6; 16; 11; 9; 14; 13; 7; 3; 12],  -50.0
[11; 7; 12; 10; 3; 8; 16; 2; 5; 15; 13; 4; 1; 14; 9; 6],  -62.0
[8; 11; 6; 14; 7; 13; 15; 1; 5; 12; 2; 3; 4; 9; 10; 16],  -74.0
[9; 15; 2; 3; 12; 4; 13; 14; 6; 5; 10; 7; 1; 11; 8; 16],  -38.0
[10; 16; 15; 13; 3; 2; 1; 4; 5; 6; 11; 14; 8; 7; 9; 12],  -144.0
[9; 3; 13; 15; 2; 7; 10; 5; 8; 1; 6; 11; 14; 4; 12; 16],  -30.0
[12; 10; 15; 6; 9; 8; 4; 13; 1; 2; 3; 7; 11; 5; 16; 14],  -104.0
[7; 13; 10; 16; 15; 6; 2; 5; 11; 1; 14; 8; 9; 3; 12; 4],  -72.0
[1; 11; 3; 9; 14; 5; 8; 12; 16; 6; 15; 7; 10; 2; 13; 4],  -42.0
[6; 7; 9; 3; 10; 11; 1; 4; 16; 5; 12; 2; 15; 14; 8; 13],  -104.0
[9; 10; 12; 13; 5; 14; 3; 8; 1; 2; 6; 16; 4; 11; 7; 15],  -104.0
[16; 2; 4; 14; 11; 12; 5; 15; 9; 7; 6; 10; 13; 1; 3; 8],  -74.0
