Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[6; 14; 9; 5; 7; 11; 2; 4; 3; 16; 12; 8; 1; 10; 13; 15], 18, 702254, 5250103, 75914921, 726665354, 76617175, 731915457,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[13; 14; 2; 12; 10; 4; 9; 7; 6; 5; 3; 1; 8; 11; 15; 16], 16, 804072, 6327016, 76540181, 734081581, 77344253, 740408597,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 8; 10; 16; 9; 11; 12; 14; 1; 5; 7; 15; 4; 13; 6; 3], 18, 787861, 6243407, 76943335, 736710660, 77731196, 742954067,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 4; 9; 11; 7; 16; 10; 15; 5; 2; 12; 3; 13; 1; 6; 8], 16, 803136, 6164146, 77295340, 741107200, 78098476, 747271346,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[13; 12; 15; 10; 14; 11; 16; 5; 3; 1; 2; 7; 9; 8; 6; 4], 16, 812030, 6487480, 76175687, 729583559, 76987717, 736071039,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 13; 8; 2; 4; 5; 1; 12; 7; 9; 3; 6; 15; 10; 14; 16], 16, 705184, 5518762, 76199784, 729581308, 76904968, 735100070,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[3; 6; 5; 8; 14; 15; 2; 11; 13; 1; 7; 12; 16; 10; 4; 9], 18, 692899, 5783466, 76056378, 727078329, 76749277, 732861795,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[15; 12; 7; 2; 3; 9; 5; 16; 14; 6; 4; 13; 1; 11; 8; 10], 18, 721054, 5869328, 76079114, 727640816, 76800168, 733510144,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 16; 1; 3; 13; 8; 9; 15; 5; 12; 6; 11; 10; 2; 7; 4], 16, 719154, 5414152, 74698234, 715210534, 75417388, 720624686,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 13; 12; 2; 16; 9; 7; 11; 10; 8; 6; 4; 15; 5; 1; 3], 16, 773284, 6058116, 77161741, 740548647, 77935025, 746606763,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 4; 11; 16; 3; 13; 2; 15; 9; 12; 1; 10; 14; 6; 7; 5], 16, 771746, 5800948, 78232764, 751352222, 79004510, 757153170,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 4; 2; 7; 10; 3; 16; 14; 13; 11; 9; 5; 8; 15; 6; 12], 16, 781314, 6117540, 77915273, 749298455, 78696587, 755415995,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[3; 14; 7; 10; 6; 2; 12; 13; 4; 15; 8; 9; 1; 11; 16; 5], 18, 818144, 6512208, 78568745, 754588680, 79386889, 761100888,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 12; 7; 8; 15; 13; 14; 3; 6; 1; 4; 5; 16; 10; 11; 9], 16, 722060, 5724004, 75654332, 723396479, 76376392, 729120483,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[4; 11; 12; 10; 13; 15; 7; 6; 5; 9; 2; 16; 3; 8; 14; 1], 18, 805653, 6152187, 77932082, 743736913, 78737735, 749889100,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[6; 8; 13; 12; 15; 1; 11; 5; 7; 9; 14; 10; 16; 4; 2; 3], 18, 713238, 5350372, 76522187, 731829924, 77235425, 737180296,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 3; 4; 12; 15; 9; 6; 14; 11; 5; 1; 8; 7; 10; 13; 16], 16, 728656, 5492932, 78392901, 754508434, 79121557, 760001366,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 7; 15; 10; 16; 5; 1; 14; 2; 3; 4; 6; 12; 13; 9; 8], 18, 777329, 5831523, 73952876, 709400375, 74730205, 715231898,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 7; 10; 4; 5; 14; 11; 3; 12; 6; 9; 2; 8; 15; 13; 16], 18, 805788, 6037911, 77038376, 738358084, 77844164, 744395995,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 6; 3; 14; 13; 10; 12; 5; 11; 4; 2; 9; 1; 15; 16; 7], 18, 734978, 5525359, 73890612, 707151864, 74625590, 712677223,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 14; 16; 12; 3; 6; 7; 15; 4; 11; 2; 10; 13; 1; 8; 5], 16, 729750, 6139602, 74806374, 717237133, 75536124, 723376735,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 15; 4; 10; 14; 5; 12; 6; 7; 11; 13; 16; 9; 1; 3; 8], 16, 785222, 5977208, 78534605, 755778821, 79319827, 761756029,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[13; 1; 15; 5; 2; 4; 11; 3; 14; 10; 9; 7; 6; 16; 12; 8], 16, 780074, 5867048, 77944193, 749571899, 78724267, 755438947,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 2; 8; 5; 10; 11; 7; 3; 15; 13; 6; 16; 12; 9; 1; 4], 18, 785145, 6076248, 77921853, 745396088, 78706998, 751472336,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[14; 7; 8; 12; 1; 16; 5; 13; 15; 3; 4; 10; 11; 6; 9; 2], 18, 799197, 6440555, 77795698, 746676869, 78594895, 753117424,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 13; 5; 8; 10; 3; 14; 15; 2; 12; 6; 7; 16; 9; 11; 4], 16, 807356, 6283522, 78411954, 752715900, 79219310, 758999422,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 5; 15; 10; 12; 8; 11; 2; 13; 4; 14; 9; 3; 16; 7; 6], 16, 802010, 6253964, 74075437, 710711367, 74877447, 716965331,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[12; 1; 16; 7; 4; 9; 6; 2; 15; 14; 11; 3; 8; 5; 10; 13], 18, 723444, 5769426, 76207613, 730311814, 76931057, 736081240,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[7; 8; 16; 10; 6; 9; 1; 13; 2; 11; 14; 12; 3; 5; 15; 4], 18, 791706, 5944458, 73661978, 706020786, 74453684, 711965244,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[16; 7; 3; 6; 2; 13; 12; 9; 11; 1; 4; 15; 5; 8; 14; 10], 18, 688626, 5398006, 75822578, 725091917, 76511204, 730489923,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 5; 13; 1; 12; 6; 8; 10; 14; 9; 3; 16; 4; 7; 2; 15], 16, 712766, 5510262, 74203692, 712109944, 74916458, 717620206,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[13; 10; 12; 8; 16; 1; 15; 4; 3; 2; 6; 14; 5; 9; 7; 11], 18, 817155, 6205471, 77019161, 736467663, 77836316, 742673134,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[8; 5; 3; 2; 6; 1; 16; 12; 4; 10; 15; 11; 9; 13; 14; 7], 18, 705713, 5509167, 75622075, 724020750, 76327788, 729529917,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[4; 13; 8; 16; 14; 7; 10; 5; 6; 2; 12; 11; 3; 9; 1; 15], 16, 800974, 6136826, 77140423, 741326228, 77941397, 747463054,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[11; 10; 8; 5; 6; 3; 12; 2; 1; 13; 7; 9; 4; 14; 15; 16], 18, 793904, 6076498, 77416281, 740787485, 78210185, 746863983,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[1; 3; 8; 4; 13; 10; 2; 14; 16; 7; 11; 12; 6; 9; 15; 5], 16, 802682, 6013050, 75591858, 725130723, 76394540, 731143773,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[9; 13; 3; 8; 7; 4; 15; 10; 2; 11; 16; 12; 6; 1; 14; 5], 18, 802787, 6498044, 75703936, 725386645, 76506723, 731884689,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
[2; 1; 12; 3; 11; 8; 7; 14; 15; 10; 4; 6; 13; 9; 16; 5], 16, 756812, 6130352, 74953874, 717372877, 75710686, 723503229,22, 642412, 4804082, 82690520, 786870011, 83332932, 791674093
